1000,30000000,103000000000,384000000000
-0.00364,0.169,-0.00166,0.0281
0.0246,-0.0626,-0.0991,0.0485
0.00133,0.00238,0.000785,-0.00081
-0.00000562,-0.000031,-0.0000237,0.000021
0.00254,0.0057,0.008,0.003
0.0177,0.0171,-0.0105,0.0185
0.0337,-0.18,-0.163,0.0345
-0.00376,-0.133,0.146,0.0537
0.0175,-0.0642,0.105,-0.137
-212,221,3.74,86.4
-0.00273,0.249,0.246,0.0199
0.0275,-0.177,-0.0508,-0.0847
-95.2,105,108,89.3
-0.134,-1.11,0.391,-0.0491
-0.0273,-0.0363,0.0967,0.00914
-0.00967,-0.102,0.126,-0.0164
-14.6,-195,-16.6,49.2
-0.0275,0.117,-0.145,-0.0467
-174,-215,110,52.8
-0.0666,-0.316,-0.207,0
-0.00596,0.0525,0.00829,0
0.00674,-0.0317,-0.0303,0
-0.0266,-0.14,0.142,0
0.0147,0.0834,-0.029,0
-0.11,0.214,0.224,0
0.00887,-0.0618,-0.0793,0
0.00369,-0.015,-0.0164,0
0.0122,0.106,-0.101,0
-0.00764,-0.0974,0.0655,0
-0.00449,0.0226,0.0537,0
0.00236,0.0121,-0.00237,0
0.00506,-0.0224,0.0189,0
0.00108,-0.00246,-0.00265,0
-0.000716,0.00324,0.00831,0
0.000964,-0.00578,-0.00389,0
